dep,arr
05:11,05:17
05:26,05:33
05:40,05:47
05:51,05:58
06:07,06:14
06:19,06:26
06:29,06:36
06:37,06:44
06:47,06:54
06:58,07:05
07:09,07:16
07:17,07:24
07:25,07:32
07:35,07:43
07:44,07:52
07:51,08:00
08:00,08:08
08:07,08:14
08:11,08:18
08:15,08:23
08:22,08:30
08:30,08:38
08:41,08:49
08:53,09:00
09:03,09:11
09:10,09:17
09:20,09:28
09:30,09:38
09:41,09:49
09:56,10:03
10:07,10:15
10:15,10:22
10:30,10:37
10:42,10:49
10:54,11:01
11:06,11:13
11:18,11:25
11:30,11:37
11:42,11:49
11:54,12:01
12:06,12:13
12:18,12:25
12:30,12:37
12:42,12:49
12:54,13:01
13:06,13:13
13:18,13:25
13:30,13:37
13:42,13:49
13:54,14:01
14:06,14:13
14:18,14:25
14:30,14:37
14:42,14:49
14:54,15:01
15:06,15:13
15:18,15:25
15:31,15:38
15:43,15:50
15:55,16:02
16:07,16:14
16:18,16:25
16:29,16:36
16:41,16:48
16:52,16:59
17:04,17:11
17:13,17:20
17:17,17:25
17:27,17:34
17:35,17:42
17:42,17:49
17:53,18:00
17:59,18:06
18:05,18:12
18:14,18:21
18:19,18:26
18:27,18:34
18:41,18:48
18:53,19:00
19:04,19:11
19:17,19:24
19:26,19:33
19:37,19:44
19:46,19:53
19:52,19:59
20:03,20:10
20:15,20:22
20:27,20:34
20:39,20:46
20:50,20:57
20:57,21:04
21:08,21:15
21:20,21:27
21:32,21:39
21:44,21:51
21:57,22:04
22:08,22:15
22:22,22:29
22:35,22:42
22:47,22:54
23:04,23:10
23:21,23:28
23:38,23:45
23:53,24:00
