dep,arr
05:33,05:35
05:45,05:47
05:56,05:58
06:06,06:08
06:16,06:18
06:26,06:28
06:36,06:38
06:42,06:43
06:46,06:48
06:56,06:58
07:06,07:08
07:11,07:13
07:16,07:18
07:22,07:23
07:27,07:28
07:31,07:33
07:37,07:39
07:41,07:43
07:45,07:47
07:50,07:51
07:54,07:55
07:58,07:59
08:02,08:04
08:07,08:09
08:12,08:14
08:17,08:19
08:22,08:24
08:27,08:29
08:32,08:34
08:36,08:38
08:40,08:42
08:45,08:46
08:49,08:50
08:53,08:54
08:57,08:59
09:01,09:03
09:06,09:08
09:12,09:14
09:18,09:20
09:25,09:26
09:32,09:33
09:37,09:39
09:43,09:45
09:49,09:51
09:56,09:57
10:03,10:05
10:11,10:12
10:18,10:20
10:26,10:27
10:33,10:35
10:41,10:42
10:48,10:50
10:56,10:57
11:03,11:05
11:11,11:12
11:18,11:20
11:26,11:27
11:33,11:35
11:41,11:42
11:48,11:50
11:56,11:57
12:03,12:05
12:11,12:12
12:18,12:20
12:26,12:27
12:33,12:35
12:41,12:42
12:48,12:50
12:56,12:57
13:03,13:05
13:11,13:12
13:18,13:20
13:26,13:27
13:33,13:35
13:41,13:42
13:48,13:50
13:56,13:57
14:03,14:05
14:11,14:12
14:18,14:20
14:26,14:27
14:33,14:35
14:41,14:42
14:48,14:50
14:56,14:57
15:03,15:05
15:11,15:12
15:18,15:20
15:26,15:27
15:33,15:35
15:41,15:42
15:48,15:50
15:56,15:57
16:03,16:05
16:11,16:12
16:18,16:20
16:22,16:24
16:26,16:28
16:34,16:35
16:37,16:39
16:41,16:42
16:45,16:47
16:49,16:51
16:54,16:56
16:59,17:01
17:04,17:06
17:09,17:11
17:14,17:16
17:19,17:21
17:24,17:26
17:29,17:31
17:34,17:36
17:39,17:41
17:44,17:46
17:49,17:51
17:54,17:56
17:59,18:01
18:04,18:06
18:09,18:11
18:14,18:16
18:19,18:21
18:24,18:26
18:29,18:31
18:34,18:36
18:39,18:41
18:44,18:46
18:49,18:51
18:54,18:56
18:59,19:01
19:04,19:06
19:09,19:11
19:14,19:16
19:19,19:21
19:25,19:26
19:32,19:33
19:39,19:40
19:46,19:47
19:53,19:54
19:59,20:01
20:07,20:08
20:14,20:15
20:21,20:22
20:28,20:29
20:35,20:36
20:42,20:43
20:49,20:50
20:56,20:57
21:03,21:04
21:10,21:12
21:20,21:22
21:30,21:32
21:40,21:42
21:50,21:52
22:00,22:02
22:10,22:12
22:20,22:22
22:30,22:32
22:40,22:42
22:50,22:52
23:00,23:02
23:10,23:12
23:20,23:22
23:30,23:32
23:40,23:42
23:50,23:52
24:00,24:02
24:10,24:12
