dep,arr
05:14,05:23
05:24,05:33
05:34,05:43
05:44,05:53
05:54,06:03
06:04,06:13
06:14,06:23
06:24,06:33
06:34,06:43
06:44,06:53
06:53,07:02
07:01,07:10
07:09,07:18
07:17,07:26
07:25,07:34
07:31,07:40
07:37,07:47
07:42,07:51
07:46,07:55
07:52,08:01
07:57,08:06
08:01,08:10
08:05,08:14
08:09,08:18
08:13,08:22
08:17,08:26
08:21,08:30
08:25,08:34
08:30,08:39
08:35,08:44
08:40,08:49
08:45,08:54
08:49,08:58
08:53,09:02
08:57,09:06
09:01,09:10
09:05,09:14
09:10,09:19
09:20,09:29
09:30,09:40
09:39,09:48
09:47,09:56
09:58,10:07
10:08,10:17
10:18,10:27
10:28,10:37
10:38,10:47
10:48,10:57
10:58,11:07
11:08,11:17
11:18,11:27
11:28,11:37
11:38,11:47
11:48,11:57
11:58,12:07
12:08,12:17
12:18,12:27
12:28,12:37
12:38,12:47
12:48,12:57
12:58,13:07
13:08,13:17
13:18,13:27
13:28,13:37
13:38,13:47
13:48,13:57
13:58,14:07
14:08,14:17
14:18,14:27
14:28,14:37
14:38,14:47
14:48,14:57
14:58,15:07
15:08,15:17
15:18,15:27
15:28,15:37
15:38,15:47
15:48,15:57
15:58,16:07
16:08,16:17
16:18,16:27
16:28,16:37
16:37,16:46
16:45,16:54
16:52,17:01
16:59,17:08
17:06,17:15
17:12,17:21
17:18,17:27
17:23,17:32
17:28,17:37
17:33,17:42
17:38,17:47
17:43,17:53
17:48,17:57
17:53,18:02
17:58,18:07
18:03,18:12
18:08,18:17
18:13,18:22
18:18,18:27
18:23,18:32
18:28,18:37
18:33,18:42
18:38,18:47
18:43,18:52
18:48,18:58
18:53,19:02
19:00,19:09
19:07,19:16
19:16,19:25
19:23,19:32
19:31,19:40
19:39,19:48
19:46,19:56
19:54,20:04
20:01,20:10
20:09,20:18
20:16,20:25
20:24,20:33
20:31,20:40
20:39,20:48
20:46,20:55
20:54,21:03
21:01,21:10
21:09,21:18
21:16,21:25
21:24,21:33
21:31,21:40
21:39,21:48
21:46,21:56
21:55,22:04
22:04,22:14
22:14,22:23
22:24,22:33
22:34,22:43
22:44,22:53
22:54,23:03
23:04,23:13
23:14,23:23
23:24,23:33
23:34,23:43
23:44,23:53
23:54,24:03
24:04,24:13
