dep,arr
05:33,05:35
05:45,05:47
05:56,05:58
06:06,06:08
06:16,06:18
06:26,06:28
06:36,06:38
06:46,06:48
06:56,06:58
07:01,07:03
07:06,07:08
07:16,07:18
07:26,07:28
07:31,07:33
07:36,07:38
07:41,07:43
07:46,07:48
07:52,07:53
08:00,08:01
08:06,08:08
08:13,08:14
08:20,08:21
08:27,08:28
08:34,08:35
08:41,08:42
08:48,08:50
08:54,08:56
09:01,09:03
09:07,09:08
09:13,09:14
09:19,09:21
09:26,09:28
09:33,09:35
09:41,09:42
09:48,09:50
09:56,09:57
10:03,10:05
10:11,10:12
10:18,10:20
10:26,10:27
10:33,10:35
10:41,10:42
10:48,10:50
10:56,10:57
11:03,11:05
11:11,11:12
11:18,11:20
11:26,11:27
11:33,11:35
11:41,11:42
11:48,11:50
11:56,11:57
12:03,12:05
12:11,12:12
12:18,12:20
12:26,12:27
12:33,12:35
12:41,12:42
12:48,12:50
12:56,12:57
13:03,13:05
13:11,13:12
13:18,13:20
13:26,13:27
13:33,13:35
13:41,13:42
13:48,13:50
13:56,13:57
14:03,14:05
14:11,14:12
14:18,14:20
14:26,14:27
14:33,14:35
14:41,14:42
14:48,14:50
14:56,14:57
15:03,15:05
15:11,15:12
15:18,15:20
15:26,15:27
15:33,15:35
15:41,15:42
15:48,15:50
15:56,15:57
16:03,16:05
16:11,16:12
16:18,16:20
16:26,16:27
16:33,16:35
16:41,16:42
16:48,16:50
16:56,16:57
17:03,17:05
17:11,17:12
17:18,17:20
17:26,17:27
17:33,17:35
17:41,17:42
17:48,17:50
17:56,17:57
18:03,18:05
18:11,18:12
18:18,18:20
18:26,18:27
18:33,18:35
18:41,18:42
18:48,18:50
18:56,18:57
19:03,19:05
19:11,19:12
19:18,19:20
19:26,19:27
19:33,19:35
19:41,19:42
19:48,19:50
19:56,19:57
20:03,20:05
20:11,20:12
20:18,20:20
20:26,20:27
20:33,20:35
20:41,20:42
20:48,20:50
20:56,20:57
21:03,21:05
21:11,21:12
21:20,21:22
21:30,21:32
21:40,21:42
21:50,21:52
22:00,22:02
22:10,22:12
22:20,22:22
22:30,22:32
22:40,22:42
22:50,22:52
23:00,23:02
23:10,23:12
23:20,23:22
23:30,23:32
23:40,23:42
23:50,23:52
24:00,24:02
24:10,24:12
